Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q1,39,Vancouver,Administrator,All,184,184,50,105095
District Level,2013/2014,Q1,39,Vancouver,Administrator,Male,72,72,49,106833
District Level,2013/2014,Q1,39,Vancouver,Administrator,Female,112,112,50,103978
District Level,2013/2014,Q1,39,Vancouver,Educator,All,3311,3048.0236,46,75146
District Level,2013/2014,Q1,39,Vancouver,Educator,Male,894,866.7924,46,76131
District Level,2013/2014,Q1,39,Vancouver,Educator,Female,2417,2181.2312,46,74778
District Level,2013/2014,Q1,39,Vancouver,Teacher,All,3127,2864.0236,45,73432
District Level,2013/2014,Q1,39,Vancouver,Teacher,Male,822,794.7924,46,73539
District Level,2013/2014,Q1,39,Vancouver,Teacher,Female,2305,2069.2312,45,73393
District Level,2013/2014,Q4,39,Vancouver,Administrator,All,188,188,50,105847
District Level,2013/2014,Q4,39,Vancouver,Administrator,Male,73,73,50,107813
District Level,2013/2014,Q4,39,Vancouver,Administrator,Female,115,115,50,104599
District Level,2013/2014,Q4,39,Vancouver,Educator,All,3389,3109.1041,46,74377
District Level,2013/2014,Q4,39,Vancouver,Educator,Male,916,886.828,46,75558
District Level,2013/2014,Q4,39,Vancouver,Educator,Female,2473,2222.2761,46,73939
District Level,2013/2014,Q4,39,Vancouver,Teacher,All,3201,2921.1041,46,72586
District Level,2013/2014,Q4,39,Vancouver,Teacher,Male,843,813.828,46,72861
District Level,2013/2014,Q4,39,Vancouver,Teacher,Female,2358,2107.2761,45,72488
District Level,2013/2014,Q1,40,New Westminster,Administrator,All,28,28,50,108091
District Level,2013/2014,Q1,40,New Westminster,Administrator,Male,11,11,48,113430
District Level,2013/2014,Q1,40,New Westminster,Administrator,Female,17,17,52,104637
District Level,2013/2014,Q1,40,New Westminster,Educator,All,439,392.208,45,74440
District Level,2013/2014,Q1,40,New Westminster,Educator,Male,130,122.035,45,75747
District Level,2013/2014,Q1,40,New Westminster,Educator,Female,309,270.173,45,73916
District Level,2013/2014,Q1,40,New Westminster,Teacher,All,411,364.208,45,72332
District Level,2013/2014,Q1,40,New Westminster,Teacher,Male,119,111.035,45,72430
